"","date","time","county_name","county_outages","county_total","state_outages","state_perc"
"1","10/21/2018","18:00","ALACHUA","0","130145","81060","0.76"
"2","10/21/2018","18:00","BAKER","0","11589","81060","0.76"
"3","10/21/2018","18:00","BAY","46362","117625","81060","0.76"
"4","10/21/2018","18:00","BRADFORD","0","12592","81060","0.76"
"5","10/21/2018","18:00","BREVARD","0","312898","81060","0.76"
"6","10/21/2018","18:00","BROWARD","0","939531","81060","0.76"
"7","10/21/2018","18:00","CALHOUN","5585","6937","81060","0.76"
"8","10/21/2018","18:00","CHARLOTTE","0","117437","81060","0.76"
"9","10/21/2018","18:00","CITRUS","0","88238","81060","0.76"
"10","10/21/2018","18:00","CLAY","0","94266","81060","0.76"
"11","10/21/2018","18:00","COLLIER","0","250710","81060","0.76"
"12","10/21/2018","18:00","COLUMBIA","0","33514","81060","0.76"
"13","10/21/2018","18:00","DESOTO","0","17827","81060","0.76"
"14","10/21/2018","18:00","DIXIE","0","10113","81060","0.76"
"15","10/21/2018","18:00","DUVAL","0","449806","81060","0.76"
"16","10/21/2018","18:00","ESCAMBIA","0","156436","81060","0.76"
"17","10/21/2018","18:00","FLAGLER","0","59627","81060","0.76"
"18","10/21/2018","18:00","FRANKLIN","0","10642","81060","0.76"
"19","10/21/2018","18:00","GADSDEN","3917","22425","81060","0.76"
"20","10/21/2018","18:00","GILCHRIST","0","9109","81060","0.76"
"21","10/21/2018","18:00","GLADES","0","7435","81060","0.76"
"22","10/21/2018","18:00","GULF","3428","11026","81060","0.76"
"23","10/21/2018","18:00","HAMILTON","0","6807","81060","0.76"
"24","10/21/2018","18:00","HARDEE","0","12375","81060","0.76"
"25","10/21/2018","18:00","HENDRY","0","18586","81060","0.76"
"26","10/21/2018","18:00","HERNANDO","0","95043","81060","0.76"
"27","10/21/2018","18:00","HIGHLANDS","0","62344","81060","0.76"
"28","10/21/2018","18:00","HILLSBOROUGH","0","634262","81060","0.76"
"29","10/21/2018","18:00","HOLMES","73","10347","81060","0.76"
"30","10/21/2018","18:00","INDIAN","0","93042","81060","0.76"
"31","10/21/2018","18:00","JACKSON","17891","24048","81060","0.76"
"32","10/21/2018","18:00","JEFFERSON","0","8376","81060","0.76"
"33","10/21/2018","18:00","LAFAYETTE","0","4192","81060","0.76"
"34","10/21/2018","18:00","LAKE","0","180116","81060","0.76"
"35","10/21/2018","18:00","LEE","0","445581","81060","0.76"
"36","10/21/2018","18:00","LEON","309","149600","81060","0.76"
"37","10/21/2018","18:00","LEVY","0","25132","81060","0.76"
"38","10/21/2018","18:00","LIBERTY","1127","4081","81060","0.76"
"39","10/21/2018","18:00","MADISON","0","11037","81060","0.76"
"40","10/21/2018","18:00","MANATEE","0","214713","81060","0.76"
"41","10/21/2018","18:00","MARION","0","190998","81060","0.76"
"42","10/21/2018","18:00","MARTIN","0","94739","81060","0.76"
"43","10/21/2018","18:00","MIAMI-DADE","0","1161492","81060","0.76"
"44","10/21/2018","18:00","MONROE","0","62035","81060","0.76"
"45","10/21/2018","18:00","NASSAU","0","45678","81060","0.76"
"46","10/21/2018","18:00","OKALOOSA","0","109967","81060","0.76"
"47","10/21/2018","18:00","OKEECHOBEE","0","22420","81060","0.76"
"48","10/21/2018","18:00","ORANGE","0","582021","81060","0.76"
